Emotion,Title,Link,Category
angry,Understanding and Dealing with Anger,https://www.youtube.com/watch?v=example1,Education
angry,Managing Anger: Tips and Techniques,https://www.youtube.com/watch?v=example2,Education
angry,The Psychology of Anger,https://www.youtube.com/watch?v=example3,Education
angry,Anger Management Strategies,https://www.youtube.com/watch?v=example4,Education
angry,How to Control Your Anger,https://www.youtube.com/watch?v=example5,Education
angry,Dealing with Anger Issues,https://www.youtube.com/watch?v=example6,Education
angry,Overcoming Anger Problems,https://www.youtube.com/watch?v=example7,Education
angry,Anger Management for Beginners,https://www.youtube.com/watch?v=example8,Education
angry,Understanding Your Anger Triggers,https://www.youtube.com/watch?v=example9,Education
angry,Healthy Ways to Express Anger,https://www.youtube.com/watch?v=example10,Education
disgust,The Science Behind Disgust,https://www.youtube.com/watch?v=example11,Education
disgust,Understanding the Emotion of Disgust,https://www.youtube.com/watch?v=example12,Education
disgust,Why Do We Feel Disgust?,https://www.youtube.com/watch?v=example13,Education
disgust,The Psychology of Disgust,https://www.youtube.com/watch?v=example14,Education
disgust,Exploring Disgust: A Psychological Perspective,https://www.youtube.com/watch?v=example15,Education
disgust,How Disgust Shapes Our Behavior,https://www.youtube.com/watch?v=example16,Education
disgust,The Role of Disgust in Human Evolution,https://www.youtube.com/watch?v=example17,Education
disgust,Disgust and Its Impact on Decision Making,https://www.youtube.com/watch?v=example18,Education
disgust,Managing Feelings of Disgust,https://www.youtube.com/watch?v=example19,Education
disgust,Disgust: An In-Depth Analysis,https://www.youtube.com/watch?v=example20,Education
fear,Overcoming Fear: Tips and Strategies,https://www.youtube.com/watch?v=example21,Education
fear,Understanding and Conquering Fear,https://www.youtube.com/watch?v=example22,Education
fear,The Psychology of Fear,https://www.youtube.com/watch?v=example23,Education
fear,Managing Anxiety and Fear,https://www.youtube.com/watch?v=example24,Education
fear,How to Face Your Fears,https://www.youtube.com/watch?v=example25,Education
fear,Dealing with Fear and Phobias,https://www.youtube.com/watch?v=example26,Education
fear,Transforming Fear into Courage,https://www.youtube.com/watch?v=example27,Education
fear,Understanding Fear Responses,https://www.youtube.com/watch?v=example28,Education
fear,The Science of Fear,https://www.youtube.com/watch?v=example29,Education
fear,Practical Steps to Overcome Fear,https://www.youtube.com/watch?v=example30,Education
happy,The Science of Happiness,https://www.youtube.com/watch?v=faTGTgid8Uc,Education
happy,How to Be Happy: Strategies for Joy,https://www.youtube.com/watch?v=example31,Education
happy,Understanding Happiness and Well-being,https://www.youtube.com/watch?v=example32,Education
happy,The Psychology of Happiness,https://www.youtube.com/watch?v=example33,Education
happy,Habits of Happy People,https://www.youtube.com/watch?v=example34,Education
happy,Finding Joy in Everyday Life,https://www.youtube.com/watch?v=example35,Education
happy,The Pursuit of Happiness: Tips and Tricks,https://www.youtube.com/watch?v=example36,Education
happy,Building a Happier Life,https://www.youtube.com/watch?v=example37,Education
happy,The Secrets to Lasting Happiness,https://www.youtube.com/watch?v=example38,Education
happy,Understanding and Cultivating Happiness,https://www.youtube.com/watch?v=example39,Education
sad,The Dictionary of Obscure Sorrows,https://www.youtube.com/user/obscuresorrows,Entertainment
sad,Understanding and Coping with Sadness,https://www.youtube.com/watch?v=example40,Education
sad,The Psychology of Sadness,https://www.youtube.com/watch?v=example41,Education
sad,Dealing with Grief and Loss,https://www.youtube.com/watch?v=example42,Education
sad,Managing Sadness and Depression,https://www.youtube.com/watch?v=example43,Education
sad,How to Overcome Sadness,https://www.youtube.com/watch?v=example44,Education
sad,Embracing and Understanding Sadness,https://www.youtube.com/watch?v=example45,Education
sad,The Role of Sadness in Emotional Health,https://www.youtube.com/watch?v=example46,Education
sad,Strategies for Coping with Sadness,https://www.youtube.com/watch?v=example47,Education
sad,Finding Hope Amidst Sadness,https://www.youtube.com/watch?v=example48,Education
surprise,The Psychology of Surprise,https://www.youtube.com/watch?v=example49,Education
surprise,Understanding the Element of Surprise,https://www.youtube.com/watch?v=example50,Education
surprise,How Surprise Affects Our Emotions,https://www.youtube.com/watch?v=example51,Education
surprise,The Science Behind Surprises,https://www.youtube.com/watch?v=example52,Education
surprise,Why Do We Love Surprises?,https://www.youtube.com/watch?v=example53,Education
surprise,The Impact of Surprise on the Brain,https://www.youtube.com/watch?v=example54,Education
surprise,Surprise and Its Role in Human Behavior,https://www.youtube.com/watch?v=example55,Education
surprise,Managing Unexpected Events,https://www.youtube.com/watch?v=example56,Education
surprise,The Art of Creating Surprises,https://www.youtube.com/watch?v=example57,Education
surprise,Surprise: An In-Depth Exploration,https://www.youtube.com/watch?v=example58,Education
neutral,The Importance of Emotional Neutrality,https://www.youtube.com/watch?v=example59,Education
neutral,Understanding Neutral Emotions,https://www.youtube.com/watch?v=example60,Education
neutral,The Role of Neutrality in Emotional Health,https://www.youtube.com/watch?v=example61,Education
neutral,Managing Neutral Feelings,https://www.youtube.com/watch?v=example62,Education
neutral,The Psychology of Neutral Emotions,https://www.youtube.com/watch?v=example63,Education
neutral,Embracing Emotional Neutrality,https://www.youtube.com/watch?v=example64,Education
neutral,The Science of Emotional Neutrality,https://www.youtube.com/watch?v=example65,Education
neutral,Neutral Emotions and Decision Making,https://www.youtube.com/watch?v=example66,Education
neutral,The Benefits of Emotional Neutrality,https://www.youtube.com/watch?v=example67,Education
